text,label,sketchpad,is_fake
“ série votar o bonoro pra bolsonaro visitar orfanato e perguntar parir o criança comer o dia pais?” “em visitar o orfanato jair bolsonaro perguntar parir o criança comer o dia pai e choco jornalista assinar e ler ”,0,"O artigo em questão apresenta uma frase atribuída ao presidente Jair Bolsonaro em que ele supostamente pergunta a crianças de um orfanato sobre o que comem no Dia dos Pais. A linguagem utilizada é sensacionalista e a frase parece ter sido criada para gerar polêmica. Não há menção a fontes confiáveis ou detalhes que possam comprovar a veracidade do ocorrido. Além disso, a situação descrita parece improvável e fora do contexto usual de uma visita presidencial a um orfanato. Portanto, há indícios de que essa notícia possa ser falsa.",1
registrar caso e óbito am pa ro rr al ba ce ma pb pe pi rn es mg rj sp df go ms mt pr rs e sc subir 10.278 o caso confirmar coronavírus brasil 1.222 confirmação horar o óbito aumentar o paulo concentrar morte e liderar o lista nacional 4.466 caso confirmar doença consolidar informação repassar secretariar estadual saudar o o ministério saudar s 15h d sábado morte localizar amazona amapá parar rondônia roraima alagoa bahia cear maranhão paraíba pernambuco piauí rir norte sergipe espírito santo minar gerar rir janeiro paulo distrito federal goiá matar grosso sul matar grosso paraná rir sul e santo catarino região brasileiro caso morte confirmar coronavírus,1,"O artigo em questão trata do registro de casos e óbitos relacionados ao coronavírus em diversas regiões do Brasil. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes credíveis, pontos de vista tendenciosos ou conteúdo desatualizado. Além disso, a notícia é consistente com a situação atual da pandemia no país. Portanto, com base na análise realizada, o artigo parece ser factual e verídico.",0
“ exigir o contratar patrocínio banco brasil o atleta carol solberg discursar político e o governar federal financiar o ” “ taí bolsa-estupidez herança pt preciso extinto urgentemente o bolsa-atleta esportista virar incrível maldizer comprar influenciadores diverso arte imprensar universidade esportes trocar político – seguir riscar mercenário vôlei praia criar metro quadrar caro brasil diga-se passagem defender extinção fato o carol solberg atleta rico receber auxílio mensal r$ excrescência debochar caro contribuinte pagador imposto … ” .“alerta acontecer carol solberg esperar lacrar jb sair lacrar perder betmotion anunciar cancelamento contratar carol solberg ” “ urgente jogador vôlei crítico o jb perder patrocinador e expulso confederação o tag foracarolsolberg assunto comentar brasil atleta mentir aparecer sinal marionete o gritar posicionamento comissão atleta vôlei praia presidir emanuel “ o comissão favorável o nenhum manifestação cunhar politicar competição esportivo ” o complicar carol solberg ”,0,"O artigo em questão apresenta críticas à atleta Carol Solberg, mencionando questões relacionadas a patrocínio, posicionamento político e financiamento do governo federal. Há uso de linguagem sensacionalista e críticas fortes, o que pode indicar um viés negativo. Não são fornecidas fontes credíveis para embasar as afirmações feitas no texto. Além disso, a presença de hashtags como #foracarolsolberg sugere uma polarização e possíveis tentativas de descredibilizar a atleta. Considerando esses aspectos, é importante analisar a veracidade e imparcialidade das informações apresentadas.",1
o ministrar stf supremo tribunal federal edson fachin pedir n quinta-feira integrar o turma cortar assumir o vago aberto o aposentadoria decano marcar aurélio mello julho justificar colocar disposição tribunal sentir missão e dever preito o o conspícuo ministrar marcar aurélio eminente decano honrar sobremaneira tribunal escrever o ministrar responder o pedir manifestação interessar ministro vago aberto atualmente fachin integrar o turma e o relator processo operação lavar jato sofrer série revés julgamento,1,"O artigo em questão trata da solicitação do ministro do STF, Edson Fachin, para integrar a turma do Supremo Tribunal Federal devido à abertura de uma vaga decorrente da aposentadoria do decano Marco Aurélio em julho. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes credíveis, pontos de vista tendenciosos ou conteúdo desatualizado. A notícia parece ser relevante e plausível, considerando o contexto do STF e a movimentação interna de ministros. Portanto, a princípio, não há motivos para considerar o artigo como potencialmente falso.",0
idoso ano identificar milton oliveira santo encontrar morto pular o janela banheiro hospital metropolitano várzea mt madrugar hoje milton internar sintoma covid-19 e fugir unidade acordar boletim ocorrência o equipar polícia militar relatar pessoa revoltar idoso haver desaparecer hospital metropolitano encontrar policiar milton morto noto o secretariar estadual saudar ses-mt responsável administração hospital informar enfermeiro acompanhar o idoso milton o o banheiro e o demorar retornar acabar chamar o atenção servidor o ses-mt o enfermeiro acionou equipar hospital metropolitano conseguir abrir o portar trancar conseguir entrar milton haver desaparecer funcionário unidade passar o procurar idoso acabar encontrar morto voltar 00h40 cortar profundar cabeça,1,"O artigo descreve um incidente trágico envolvendo um idoso que estava internado com sintomas de Covid-19 e acabou falecendo após cair de uma janela do banheiro do hospital. Não há indícios de que o conteúdo seja falso, pois relata um evento específico e detalhado, sem elementos sensacionalistas ou informações enganosas. Além disso, a fonte mencionada é o Secretaria Estadual de Saúde de Mato Grosso (SES-MT), o que confere credibilidade à notícia. Considerando a natureza do incidente e a presença de informações consistentes, é plausível que o artigo seja verdadeiro.",0
"caso covid-19 surgir brasil ligar o o vírus circular europa aparecer chino dezembro passar o coronavírus espalhar mundo o wuhan cidade chinês registrar caso doença dezembro haver percurso traçar vírus infectar 1,5 milhão pessoa afirmar estudar universidade cambridge reinar unir e universidade kiel alemanha caso surgir brasil ligar o o vírus circular europa aparecer chino o redar algorítmico analisar o proximidade variação vírus cidadão diverso país reflete ligação mutante o genoma viral itália e brasil escrever autor pesquisar chegar o e o conclusão analisar mutação vírus sequenciamentos genético d invasor encontrar paciente humano importante deixar claro mutação comum e raramente significar o vírus ficar letal contagioso sintoma grave",1,"O artigo em questão aborda a origem do coronavírus no Brasil, mencionando sua ligação com o vírus que circulava na Europa e na China em dezembro. Ele cita um estudo de universidades renomadas que analisaram a proximidade das variações do vírus em diferentes países. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes confiáveis, pontos de vista tendenciosos ou conteúdo desatualizado. Além disso, o conteúdo parece plausível e relevante, considerando o contexto da pandemia de COVID-19. Portanto, com base na análise realizada, o artigo parece ser verdadeiro e não apresenta características de notícia falsa.",0
o nacional justiçar cnj informar n segunda-feira receber sugestão o implementação juiz garantir proposto apresentar consulto público internet aberto dia dezembro e encerrar sexta-feira o balançar contabilizar contribuição período balançar parcial o cnj haver informar receber sugestão proposto encaminhar o o trabalhar discutir o temer ouvir o ordem advogar brasil oab e o procuradoria repúblico pgr – ler detalhe abaixar o trabalhar coordenar corregedor nacional justiçar humberto martim e funcionar o quarta-feira,1,"O artigo em questão trata de uma informação sobre o Conselho Nacional de Justiça (CNJ) recebendo sugestões para implementar juízes de garantias, com um processo de consulta pública aberto na internet. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes credíveis, pontos de vista tendenciosos, conteúdo desatualizado ou reciclado. A notícia parece ser factual e relevante para o contexto jurídico brasileiro.",0
unir registrar recordar morte diário covid-19 acordar levantamento universidade johns hopkins o o registrar 4.470 óbito causar doença chegar alcançar país o comedir ano unir quebrar recordar frequência o país superar sequer morte vírus horar o caso registrar horar elevar recordar infecção,1,"O artigo menciona o registro de mortes diárias devido à COVID-19, com base em um levantamento da Universidade Johns Hopkins. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes credíveis, pontos de vista tendenciosos ou conteúdo desatualizado. A notícia parece ser factual e relevante, considerando o contexto da pandemia. Recomenda-se verificar a veracidade dos dados com outras fontes confiáveis para confirmar a precisão das informações.",0
o discussão o orçamentar união chegar o o congresso e virar salve-se país quebrar o brasil o orçamentar público contar o governar aplicar o dinheiro prático gastar o discutir âmbito ministério economia setor preciso cortar ajustar pretensão realidade financeiro governar atmosfera penúria subverter adágio popular o adágio melhor adaptar situação — casar pobre gritar e ninguém razão — alterar ficar exato e cruel casar pobre gritar e achar razão complicar bolsonaro criar o adágio o presidente informar debater interno governar economia s custar sacrifício investimento militar o o colocar papel despesa ano seguinte o governar estimativo arrecadar imposto frente previsão falhar o pastar economia o tecnicamente chamar contingenciamento gasto outro nome bloquear verba acordar o proposto inicial pedaço orçamentar blindar corte investimento ministério defeso livre tesourar o programar nuclear marinho o comprar caçar aeronáutico e o aquisição veículo blindar o exército mimo concedido o militar sonegar o setores estratégico educação e saudar o pastar economia reservar dinheiro orçar ano pandêmico o pandemia sumir o chegar ano o definição prioridade governar nexo o lógico governar método conduzir o conclusão errar alto grau restar o projeto sair congresso,1,"O artigo discute a situação do orçamento da União no Brasil, destacando a necessidade de cortes e ajustes para lidar com a realidade financeira do governo. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes confiáveis, pontos de vista tendenciosos ou conteúdo desatualizado. O texto parece apresentar uma análise séria e fundamentada sobre a questão orçamentária do país. Recomenda-se comparar as informações com outras fontes confiáveis para confirmar a veracidade dos dados apresentados.",0
paulo reuters o instituto butantan enviar segunda-feira agência nacional vigilância sanitário anvisa resultar teste estágio avançar humano realizar país vacinar o covid-19 desenvolvido empresar chinês sinovac finalizar instituto n semana o governador paulo joão doria psdb o vacinar butantan o sinovac o avançar vacinar n etapa testagem brasil terminar n semana n semana e segunda-feira resultar encaminhar integralmente o anvisa instituto butantan doria entrevisto coletiva n quinta-feira taboão serrar paulo acompanhar o início testagem coronavírus aluno e profissional educação o butantan enviar anvisa documento estudo anterior o vacinar sinovac realizar chino procedimento adotado agência regulatória acelerar o análise futuro pedir registro vacinar,1,"O artigo em questão relata o envio do Instituto Butantan à Anvisa dos resultados dos testes de estágio avançado em humanos da vacina contra a COVID-19 desenvolvida pela empresa chinesa Sinovac. Não há indícios de informações enganosas, linguagem sensacionalista, falta de fontes credíveis, pontos de vista tendenciosos ou conteúdo desatualizado ou reciclado. O conteúdo parece ser factual e relevante, considerando o contexto da pandemia. Recomenda-se verificar a veracidade dos resultados dos testes junto a fontes confiáveis para confirmar a eficácia e segurança da vacina. ",0
