text,label,is_fake
“ série votar o bonoro pra bolsonaro visitar orfanato e perguntar parir o criança comer o dia pais?” “em visitar o orfanato jair bolsonaro perguntar parir o criança comer o dia pai e choco jornalista assinar e ler ”,0,1
registrar caso e óbito am pa ro rr al ba ce ma pb pe pi rn es mg rj sp df go ms mt pr rs e sc subir 10.278 o caso confirmar coronavírus brasil 1.222 confirmação horar o óbito aumentar o paulo concentrar morte e liderar o lista nacional 4.466 caso confirmar doença consolidar informação repassar secretariar estadual saudar o o ministério saudar s 15h d sábado morte localizar amazona amapá parar rondônia roraima alagoa bahia cear maranhão paraíba pernambuco piauí rir norte sergipe espírito santo minar gerar rir janeiro paulo distrito federal goiá matar grosso sul matar grosso paraná rir sul e santo catarino região brasileiro caso morte confirmar coronavírus,1,0
“ exigir o contratar patrocínio banco brasil o atleta carol solberg discursar político e o governar federal financiar o ” “ taí bolsa-estupidez herança pt preciso extinto urgentemente o bolsa-atleta esportista virar incrível maldizer comprar influenciadores diverso arte imprensar universidade esportes trocar político – seguir riscar mercenário vôlei praia criar metro quadrar caro brasil diga-se passagem defender extinção fato o carol solberg atleta rico receber auxílio mensal r$ excrescência debochar caro contribuinte pagador imposto … ” .“alerta acontecer carol solberg esperar lacrar jb sair lacrar perder betmotion anunciar cancelamento contratar carol solberg ” “ urgente jogador vôlei crítico o jb perder patrocinador e expulso confederação o tag foracarolsolberg assunto comentar brasil atleta mentir aparecer sinal marionete o gritar posicionamento comissão atleta vôlei praia presidir emanuel “ o comissão favorável o nenhum manifestação cunhar politicar competição esportivo ” o complicar carol solberg ”,0,1
o ministrar stf supremo tribunal federal edson fachin pedir n quinta-feira integrar o turma cortar assumir o vago aberto o aposentadoria decano marcar aurélio mello julho justificar colocar disposição tribunal sentir missão e dever preito o o conspícuo ministrar marcar aurélio eminente decano honrar sobremaneira tribunal escrever o ministrar responder o pedir manifestação interessar ministro vago aberto atualmente fachin integrar o turma e o relator processo operação lavar jato sofrer série revés julgamento,1,0
idoso ano identificar milton oliveira santo encontrar morto pular o janela banheiro hospital metropolitano várzea mt madrugar hoje milton internar sintoma covid-19 e fugir unidade acordar boletim ocorrência o equipar polícia militar relatar pessoa revoltar idoso haver desaparecer hospital metropolitano encontrar policiar milton morto noto o secretariar estadual saudar ses-mt responsável administração hospital informar enfermeiro acompanhar o idoso milton o o banheiro e o demorar retornar acabar chamar o atenção servidor o ses-mt o enfermeiro acionou equipar hospital metropolitano conseguir abrir o portar trancar conseguir entrar milton haver desaparecer funcionário unidade passar o procurar idoso acabar encontrar morto voltar 00h40 cortar profundar cabeça,1,0
"caso covid-19 surgir brasil ligar o o vírus circular europa aparecer chino dezembro passar o coronavírus espalhar mundo o wuhan cidade chinês registrar caso doença dezembro haver percurso traçar vírus infectar 1,5 milhão pessoa afirmar estudar universidade cambridge reinar unir e universidade kiel alemanha caso surgir brasil ligar o o vírus circular europa aparecer chino o redar algorítmico analisar o proximidade variação vírus cidadão diverso país reflete ligação mutante o genoma viral itália e brasil escrever autor pesquisar chegar o e o conclusão analisar mutação vírus sequenciamentos genético d invasor encontrar paciente humano importante deixar claro mutação comum e raramente significar o vírus ficar letal contagioso sintoma grave",1,0
o nacional justiçar cnj informar n segunda-feira receber sugestão o implementação juiz garantir proposto apresentar consulto público internet aberto dia dezembro e encerrar sexta-feira o balançar contabilizar contribuição período balançar parcial o cnj haver informar receber sugestão proposto encaminhar o o trabalhar discutir o temer ouvir o ordem advogar brasil oab e o procuradoria repúblico pgr – ler detalhe abaixar o trabalhar coordenar corregedor nacional justiçar humberto martim e funcionar o quarta-feira,1,0
unir registrar recordar morte diário covid-19 acordar levantamento universidade johns hopkins o o registrar 4.470 óbito causar doença chegar alcançar país o comedir ano unir quebrar recordar frequência o país superar sequer morte vírus horar o caso registrar horar elevar recordar infecção,1,0
o discussão o orçamentar união chegar o o congresso e virar salve-se país quebrar o brasil o orçamentar público contar o governar aplicar o dinheiro prático gastar o discutir âmbito ministério economia setor preciso cortar ajustar pretensão realidade financeiro governar atmosfera penúria subverter adágio popular o adágio melhor adaptar situação — casar pobre gritar e ninguém razão — alterar ficar exato e cruel casar pobre gritar e achar razão complicar bolsonaro criar o adágio o presidente informar debater interno governar economia s custar sacrifício investimento militar o o colocar papel despesa ano seguinte o governar estimativo arrecadar imposto frente previsão falhar o pastar economia o tecnicamente chamar contingenciamento gasto outro nome bloquear verba acordar o proposto inicial pedaço orçamentar blindar corte investimento ministério defeso livre tesourar o programar nuclear marinho o comprar caçar aeronáutico e o aquisição veículo blindar o exército mimo concedido o militar sonegar o setores estratégico educação e saudar o pastar economia reservar dinheiro orçar ano pandêmico o pandemia sumir o chegar ano o definição prioridade governar nexo o lógico governar método conduzir o conclusão errar alto grau restar o projeto sair congresso,1,0
paulo reuters o instituto butantan enviar segunda-feira agência nacional vigilância sanitário anvisa resultar teste estágio avançar humano realizar país vacinar o covid-19 desenvolvido empresar chinês sinovac finalizar instituto n semana o governador paulo joão doria psdb o vacinar butantan o sinovac o avançar vacinar n etapa testagem brasil terminar n semana n semana e segunda-feira resultar encaminhar integralmente o anvisa instituto butantan doria entrevisto coletiva n quinta-feira taboão serrar paulo acompanhar o início testagem coronavírus aluno e profissional educação o butantan enviar anvisa documento estudo anterior o vacinar sinovac realizar chino procedimento adotado agência regulatória acelerar o análise futuro pedir registro vacinar,1,0
